"tract","Name","Median_Hhold._Income_of_Residents_in_2012-16"
45059920502,"Laurens, SC",30573
22033004204,"Baker, LA",30216
6067002200,"Southwestern Sacramento, Sacramento, CA",30059
5069001502,"Pine Bluff, AR",30058
39139001600,"Mansfield, OH",29780
55105001500,"Beloit, WI",29626
1107050300,"Carrollton, AL",29489
39061006100,"Carthage, Cincinnati, OH",29348
17113001500,"Bloomington, IL",29112
5035030102,"West Memphis, AR",28132
12011010307,"Deerfield Beach, FL",28107
48201432500,"Westside, Houston, TX",28093
42087960700,"Lewistown, PA",27880
26163536600,"Detroit, MI",27295
29217950400,"Nevada, MO",27064
22107000100,"Newellton, LA",27055
47157010620,"Parkway Village, Memphis, TN",26952
36061016200,"Upper Manhattan, New York, NY",26879
6037127520,"Van Nuys, Los Angeles, CA",26868
29095005602,"East Side, Kansas City, MO",26381
40143001200,"Crutchfield, Tulsa, OK",26095
37027030200,"Lenoir, NC",26042
6037231100,"South Los Angeles, Los Angeles, CA",25923
22041950600,"Wisner, LA",25923
6019003400,"McLane, Fresno, CA",25583
5093010100,"Blytheville, AR",25562
20161000303,"Manhattan, KS",25511
22009030900,"Simmesport, LA",25234
26163501300,"Morningside, Detroit, MI",25189
28119950300,"Lambert, MS",24789
44007017900,"Woonsocket, RI",24491
48113011401,"Dallas, TX",24218
5011950200,"Warren, AR",24136
48029170300,"Inner West Side, San Antonio, TX",23801
72145560402,"Vega Baja, PR",23477
6083002928,"Goleta, CA",22907
55079015900,"Clarke Square, Milwaukee, WI",22444
36087011505,"Spring Valley, NY",22293
47037010702,"Madison, Nashville, TN",21826
6037221401,"Jefferson, Los Angeles, CA",21664
12086011300,"Homestead, FL",20996
12103024701,"Pinellas Park, FL",20974
24510151200,"Park Circle, Baltimore, MD",20262
36061017401,"East Harlem, New York, NY",20035
72127009400,"San Juan, PR",19002
72025202800,"Caguas, PR",18952
42129805400,"Monessen, PA",18869
26163546600,"Franklin Park, Detroit, MI",18040
22119031900,"Minden, LA",18027
38017000700,"Downtown, Fargo, ND",17976
13121004200,"West End, Atlanta, GA",17621
40119010700,"Stillwater, OK",16976
26163518600,"Detroit, MI",15935
22097961300,"Opelousas, LA",15657
39153509000,"Middlebury, Akron, OH",14599
